t_rel_s,gps_accuracy_m,valid_for_calibration
4601.900000000001,2.0,True
4610.999000000001,2.0,True
4620.0,2.0,True
4673.0,2.0,True
4681.999000000001,2.0,True
4690.999000000001,2.0,True
4700.0,2.0,True
4709.0,3.0,True
4717.999000000001,3.0,True
4727.0,3.0,True
4751.999000000001,2.0,True
4760.999000000001,3.0,True
4769.999000000001,3.0,True
4778.999000000001,3.0,True
4788.0,4.0,True
4796.999000000001,4.0,True
4806.0,3.0,True
4857.0,3.0,True
4865.999000000001,3.0,True
4874.999000000001,3.0,True
4883.999000000001,4.0,True
4893.0,3.0,True
4902.0,3.0,True
4910.999000000001,4.0,True
4920.0,3.0,True
4928.999000000001,3.0,True
4955.0,2.0,True
4963.999000000001,3.0,True
4972.999000000001,3.0,True
4982.0,3.0,True
4990.999000000001,3.0,True
4999.900000000001,3.0,True
5008.999000000001,3.0,True
5017.900000000001,3.0,True
5026.999000000001,3.0,True
5057.0,3.0,True
5065.999000000001,3.0,True
5074.999000000001,3.0,True
5090.0,3.0,True
5098.901000000001,3.0,True
5123.999000000001,3.0,True
5132.899,3.0,True
5141.999000000001,3.0,True
5151.0,3.0,True
5166.0,2.0,True
