t_s,gps_course_deg,yaw_dev_deg,mag_tc_dev_deg,gps_cog_field_deg,gps_spd_mps,yaw_minus_course_deg,mag_minus_course_deg
608.8,2.0,304.3,230.1,8.8,10.8,-57.7,-132.0
617.9,10.7,286.9,234.0,7.0,13.3,-83.8,-136.7
626.8,3.7,316.1,227.7,12.8,12.2,-47.5,-135.9
635.9,350.1,280.4,243.8,343.8,11.0,-69.8,-106.4
644.8,15.1,290.6,227.3,21.1,8.4,-84.6,-147.8
653.9,357.9,292.8,232.2,7.9,1.1,-65.1,-125.7
662.9,290.2,291.3,242.6,344.6,0.0,1.1,-47.6
671.9,292.7,8.7,264.3,286.4,9.3,76.1,-28.4
680.9,276.6,16.3,259.0,288.7,12.8,99.7,-17.6
689.9,268.7,14.8,260.4,273.7,13.4,106.1,-8.3
698.9,272.1,15.4,263.8,262.5,12.6,103.3,-8.3
707.9,286.3,23.9,263.7,282.0,13.0,97.6,-22.6
716.9,287.6,26.1,263.3,288.5,13.6,98.5,-24.2
725.9,208.0,23.3,264.8,275.6,7.0,175.3,56.7
734.9,199.8,351.8,240.6,198.8,6.1,152.1,40.8
743.9,199.2,355.0,240.2,199.6,8.3,155.8,41.0
752.9,225.7,15.2,243.1,203.1,9.7,149.5,17.4
761.9,269.6,28.5,264.0,262.0,10.0,119.0,-5.6
770.9,269.0,38.4,263.8,274.1,8.4,129.4,-5.2
779.9,268.6,30.1,267.0,268.7,9.7,121.5,-1.6
788.9,260.9,30.1,262.0,264.3,11.1,129.1,1.1
797.9,195.4,31.8,264.1,260.7,7.2,-163.6,68.7
806.9,116.9,328.2,219.3,139.9,6.8,-148.7,102.4
815.9,86.1,322.5,212.8,104.9,8.3,-123.5,126.7
824.9,81.6,312.7,215.0,70.7,8.4,-128.9,133.4
833.9,7.9,325.2,213.7,68.8,1.3,-42.7,-154.1
842.9,307.0,278.9,232.0,1.8,6.5,-28.0,-75.0
851.9,340.2,13.9,261.9,268.8,6.1,33.7,-78.3
860.9,352.4,276.6,233.2,3.3,8.4,-75.8,-119.2
869.9,271.5,5.8,263.3,292.4,4.5,94.3,-8.1
878.9,268.7,355.1,268.7,272.0,9.4,86.4,0.0
887.9,267.8,13.5,266.0,270.2,10.4,105.7,-1.8
896.9,178.3,19.6,251.2,226.3,3.0,-158.7,72.9
905.9,251.2,352.9,228.2,173.4,4.6,101.7,-23.0
914.9,266.9,21.0,264.3,265.6,7.4,114.1,-2.6
923.9,2.4,357.4,257.7,299.0,2.8,-5.0,-104.7
932.9,93.5,286.4,224.9,35.7,1.3,-167.0,131.4
941.9,91.3,308.6,214.5,87.4,4.1,-142.7,123.2
950.9,28.9,319.7,213.6,91.1,5.9,-69.2,-175.3
959.9,354.5,279.6,238.3,357.1,6.6,-74.9,-116.2
968.9,342.4,279.3,237.6,353.1,8.0,-63.1,-104.8
977.9,320.0,282.8,246.1,334.4,9.5,-37.2,-73.9
986.8,287.8,358.1,263.3,294.5,8.3,70.3,-24.5
995.8,257.1,3.8,263.7,288.9,9.7,106.7,6.6
1004.9,192.8,11.1,236.5,192.8,7.2,178.2,43.6
1013.9,194.9,1.4,237.3,193.7,12.8,166.5,42.4
1022.9,198.4,1.7,239.8,194.5,11.7,163.4,41.4
1031.9,193.7,5.1,245.4,202.8,3.7,171.4,51.7
1047.9,124.6,356.6,226.6,172.3,3.0,-128.1,102.0
1056.8,123.0,320.8,213.4,123.0,10.5,-162.1,90.5
1065.9,121.7,321.6,214.7,122.8,12.3,-160.1,93.0
1074.9,98.0,322.9,213.6,117.1,7.4,-135.1,115.6
1083.9,94.6,298.0,213.7,94.7,13.0,-156.7,119.1
1092.9,96.6,310.5,213.2,94.6,12.6,-146.0,116.6
1101.9,102.4,338.0,212.6,99.8,6.8,-124.4,110.1
1110.9,103.8,338.0,213.2,104.1,5.7,-125.8,109.3
1119.9,99.4,330.4,212.7,101.9,8.9,-128.9,113.3
1128.9,98.7,313.6,213.8,97.9,14.0,-145.1,115.2
1137.9,100.0,326.4,212.6,99.4,14.1,-133.6,112.7
1146.8,175.4,359.3,214.1,105.0,1.3,-176.1,38.7
1155.9,190.0,28.5,236.7,192.9,6.6,-161.4,46.8
1164.9,184.6,4.4,238.6,190.9,9.0,179.7,54.0
1173.9,182.2,337.9,232.4,184.0,11.0,155.6,50.1
1182.9,176.5,310.8,235.3,178.7,8.5,134.3,58.8
1191.9,169.6,260.6,227.4,175.8,0.0,91.1,57.9
1201.9,125.2,10.4,219.5,157.3,3.1,-114.8,94.4
1210.9,156.7,350.4,222.2,156.1,6.1,-166.3,65.5
1219.9,105.1,307.4,216.4,118.6,7.7,-157.7,111.3
1228.9,104.5,294.0,214.1,103.3,11.0,-170.5,109.6
1237.9,114.9,285.8,215.8,103.8,10.8,170.9,100.9
1246.9,110.0,346.3,214.6,125.7,10.2,-123.7,104.6
1255.9,97.2,252.0,223.3,40.3,4.4,154.8,126.2
1264.9,100.2,305.5,215.9,120.8,7.1,-154.7,115.7
1273.9,61.6,285.3,216.8,59.5,8.7,-136.4,155.2
1282.8,102.9,332.7,212.8,98.8,7.9,-130.2,110.0
1291.9,55.8,333.4,213.3,103.0,8.0,-82.5,157.4
1300.9,46.0,261.9,227.1,14.0,6.7,-144.0,-178.9
1309.8,103.5,356.0,211.7,92.6,1.3,-107.5,108.2
1318.9,89.5,327.4,216.0,96.7,9.5,-122.1,126.5
1327.9,42.4,307.8,214.2,82.5,8.3,-94.6,171.8
1336.9,341.3,245.6,240.8,350.0,7.2,-95.7,-100.5
1345.9,265.0,354.9,266.7,267.5,5.2,89.9,1.7
1354.9,301.4,341.8,260.7,288.1,7.2,40.4,-40.8
1363.9,100.1,273.0,245.9,344.0,1.7,172.9,145.8
1387.9,121.8,350.2,215.1,116.4,3.2,-131.6,93.3
1396.9,81.4,308.8,215.5,99.5,7.4,-132.7,134.0
1405.9,32.2,286.6,216.3,69.7,1.9,-105.6,-175.9
1414.9,341.1,269.2,221.6,36.8,5.5,-71.9,-119.5
1423.9,345.2,312.8,260.2,296.7,5.8,-32.4,-85.0
1432.9,63.0,350.5,215.5,52.5,7.6,-72.5,152.5
1441.9,58.6,338.1,214.0,64.3,11.4,-80.5,155.4
1450.9,40.6,296.1,218.9,50.5,12.3,-104.4,178.4
1459.9,4.8,243.0,254.0,325.3,4.6,-121.8,-110.8
1468.9,79.2,358.6,217.1,71.7,5.5,-80.6,137.9
1477.9,191.4,14.9,214.3,106.7,0.8,-176.4,23.0
1486.9,222.1,8.6,250.1,218.2,6.7,146.4,28.0
1495.9,232.4,15.4,252.2,228.0,6.8,143.1,19.9
1504.9,227.3,8.0,256.3,237.8,11.0,140.7,29.0
1513.9,126.2,316.7,220.3,154.9,6.7,-169.5,94.1
1522.9,93.8,285.8,217.5,119.2,9.1,-168.0,123.7
1531.9,35.1,274.9,218.5,51.2,8.2,-120.2,-176.5
1540.9,53.5,270.5,221.7,31.5,9.6,-143.0,168.2
1549.9,119.5,9.3,213.7,120.8,6.3,-110.2,94.1
1558.9,68.0,350.6,214.4,118.5,6.8,-77.4,146.3
1567.9,41.6,261.4,225.1,29.0,6.2,-140.2,-176.5
1576.9,56.1,338.8,215.5,58.7,3.9,-77.4,159.4
1585.9,58.2,325.6,219.0,54.8,1.2,-92.6,160.9
1594.9,93.3,351.5,217.5,61.4,1.9,-101.8,124.2
1603.9,241.0,10.7,219.9,157.9,0.0,129.7,-21.1
1616.9,249.0,27.3,265.8,253.8,3.8,138.3,16.8
1625.9,217.1,41.7,260.7,237.1,6.9,-175.4,43.7
1634.9,138.3,39.8,245.2,208.2,3.8,-98.4,106.9
1643.9,117.6,351.4,212.1,118.0,7.2,-126.2,94.6
1652.9,235.7,12.0,218.6,144.6,0.5,136.3,-17.1
1666.9,256.3,33.6,264.7,259.9,3.9,137.3,8.4
1675.9,210.4,40.0,245.5,208.6,6.9,-170.4,35.1
1684.9,204.2,40.9,230.6,185.2,4.4,-163.3,26.4
1693.9,299.1,39.1,266.1,252.8,4.0,100.1,-32.9
1702.9,84.9,262.8,239.7,1.6,0.0,177.9,154.8
1718.8,56.4,333.2,215.0,129.8,2.1,-83.2,158.6
1727.9,311.4,342.2,227.0,23.8,5.5,30.8,-84.5
1736.9,234.6,8.5,257.8,300.0,7.0,133.9,23.2
1745.9,238.4,1.8,244.1,207.5,5.8,123.4,5.7
1754.9,5.5,328.1,254.1,310.7,4.2,-37.4,-111.4
1763.9,147.9,343.9,216.2,58.3,0.8,-164.0,68.3
1774.9,59.4,354.0,215.2,120.1,4.6,-65.4,155.8
1783.9,340.3,6.1,223.2,32.1,5.6,25.8,-117.1
1792.9,298.4,357.0,259.4,297.0,6.8,58.6,-38.9
1801.9,227.9,20.1,262.4,289.3,2.1,152.2,34.5
1810.9,261.4,13.2,251.3,226.8,6.6,111.8,-10.1
1819.9,303.9,30.8,256.8,300.2,8.8,87.0,-47.1
1828.9,330.4,310.1,246.0,324.9,6.9,-20.3,-84.4
1837.9,39.0,335.0,249.7,332.9,0.0,-64.0,-149.4
1846.9,57.0,319.9,214.6,65.2,8.2,-97.1,157.7
1855.9,42.3,322.8,219.4,50.2,12.5,-79.4,177.1
1864.8,1.1,334.4,223.3,32.2,11.1,-26.7,-137.8
1873.9,352.4,331.2,242.8,339.6,11.9,-21.3,-109.6
1882.9,343.8,331.4,237.0,350.9,12.5,-12.4,-106.8
1891.9,331.3,345.5,244.2,334.8,11.2,14.2,-87.2
1900.8,304.7,25.2,253.4,315.0,8.9,80.5,-51.3
1909.9,291.2,50.8,257.4,291.1,8.5,119.6,-33.9
1918.9,286.5,64.8,260.8,291.5,8.6,138.4,-25.7
1927.9,276.4,82.8,258.8,280.4,11.4,166.3,-17.6
1936.8,274.4,76.6,265.4,274.4,6.8,162.1,-9.1
1945.9,279.9,78.9,264.3,275.0,10.4,159.0,-15.6
1954.8,292.8,69.6,261.1,289.8,12.5,136.8,-31.8
1963.9,274.4,86.9,262.1,279.5,12.0,172.5,-12.4
1972.9,265.8,76.5,261.3,271.5,13.4,170.7,-4.5
1981.9,274.7,79.5,265.9,264.7,11.6,164.8,-8.8
1990.9,287.8,73.0,260.9,284.4,12.7,145.1,-26.9
1999.9,288.5,75.8,263.6,289.7,12.6,147.3,-24.9
2008.9,287.3,78.9,263.0,288.6,13.8,151.5,-24.4
2017.8,287.9,86.0,262.0,287.3,13.5,158.1,-25.8
2026.9,291.2,80.4,260.6,290.4,12.8,149.2,-30.6
2035.9,288.5,82.1,261.3,290.5,11.0,153.6,-27.2
2044.9,215.9,117.5,258.0,237.4,5.3,-98.5,42.1
2053.9,277.8,18.9,262.2,235.4,6.7,101.0,-15.6
2062.9,290.6,48.8,264.0,295.8,9.0,118.1,-26.6
2071.9,301.7,62.3,265.9,279.9,9.4,120.5,-35.9
2080.9,12.5,275.1,232.9,14.3,5.9,-97.4,-139.6
2089.9,313.5,302.2,231.6,13.6,2.6,-11.3,-81.8
2098.9,287.8,35.7,263.9,291.0,6.6,107.9,-23.9
2107.9,208.6,55.7,261.7,270.8,3.7,-152.9,53.1
2116.9,191.7,2.2,234.9,191.2,7.3,170.5,43.1
2125.9,191.4,26.1,238.0,193.0,12.2,-165.2,46.6
2134.9,112.7,38.9,225.3,166.2,5.7,-73.8,112.6
2143.9,114.9,324.3,213.7,103.6,10.2,-150.5,98.8
2152.9,153.7,17.0,215.2,136.6,9.9,-136.7,61.5
2161.9,172.3,29.6,224.4,167.8,10.6,-142.7,52.1
2170.9,152.8,44.8,230.5,178.3,8.4,-107.9,77.8
2179.9,93.1,46.5,217.3,126.0,8.8,-46.6,124.2
2188.9,81.3,326.0,214.1,78.5,11.2,-115.3,132.8
2197.8,100.3,346.6,216.3,84.1,10.3,-113.7,116.0
2206.9,185.3,15.0,229.9,183.8,6.2,-170.3,44.6
2215.9,126.9,28.0,229.7,184.8,7.7,-98.9,102.8
2224.9,102.6,4.0,213.3,103.4,0.9,-98.7,110.7
2233.9,103.4,5.2,213.6,100.9,8.2,-98.2,110.2
2242.9,90.7,4.6,213.4,101.0,10.3,-86.1,122.7
2251.9,96.1,10.7,212.8,91.6,10.5,-85.4,116.7
2260.8,98.9,5.9,214.0,95.9,8.0,-93.0,115.1
2269.9,90.9,8.9,213.2,94.6,8.9,-82.0,122.3
2278.9,68.5,16.5,214.1,77.6,7.9,-52.0,145.6
2287.9,346.5,5.5,218.0,53.6,5.0,19.0,-128.5
2296.9,18.1,287.9,244.6,336.8,5.9,-90.2,-133.5
2305.9,64.9,342.0,216.4,59.8,6.5,-82.9,151.5
2314.9,83.6,341.7,213.3,72.9,10.3,-101.9,129.7
2323.8,95.4,0.9,211.9,92.7,10.7,-94.4,116.5
2332.9,132.2,8.2,214.4,95.4,9.3,-124.0,82.2
2341.8,193.8,5.8,235.7,191.3,8.1,172.0,41.9
2350.9,184.3,26.7,233.5,188.5,9.8,-157.6,49.2
2359.9,195.5,38.7,230.3,180.3,9.3,-156.8,34.8
2368.9,281.4,43.8,258.5,246.8,6.9,122.4,-22.9
2377.9,276.6,56.2,266.0,282.5,8.9,139.6,-10.7
2386.9,304.6,61.3,266.9,271.6,8.9,116.8,-37.6
2395.9,322.9,284.7,242.4,342.3,6.9,-38.3,-80.6
2404.9,262.4,55.2,265.3,267.6,5.1,152.8,2.9
2413.8,260.1,58.0,263.8,264.0,5.0,157.9,3.6
2422.9,290.1,60.4,268.3,261.7,0.0,130.4,-21.8
2439.9,345.0,300.6,246.0,326.8,4.3,-44.4,-98.9
2448.9,265.7,301.0,249.8,325.0,1.5,35.3,-15.9
2457.9,274.2,359.0,267.6,265.1,6.7,84.8,-6.6
2466.9,277.1,0.1,265.8,276.0,10.0,83.0,-11.2
2475.9,273.1,1.6,267.0,276.2,11.0,88.5,-6.1
2484.9,281.1,1.8,265.8,267.1,11.0,80.7,-15.3
2493.9,283.6,14.8,267.9,284.6,11.6,91.2,-15.7
2502.9,285.7,12.4,263.9,281.8,5.0,86.7,-21.7
2526.9,2.5,297.5,253.1,319.2,4.0,-65.0,-109.4
2535.9,14.8,294.0,231.1,3.8,9.3,-80.8,-143.7
2544.9,56.3,310.6,217.1,79.6,5.4,-105.7,160.8
2553.9,357.7,283.0,238.0,1.2,8.0,-74.6,-119.7
2562.9,60.9,283.1,237.4,358.1,2.7,-137.9,176.5
2571.9,49.5,328.3,213.0,81.8,6.0,-81.3,163.5
2580.9,54.3,298.6,221.9,35.6,8.8,-115.7,167.6
2589.9,105.6,326.9,213.6,95.5,8.8,-138.7,107.9
2598.9,102.9,348.4,212.7,107.5,6.1,-114.5,109.8
2607.9,192.0,335.4,216.0,108.9,0.0,143.4,24.1
2616.9,162.2,15.8,239.7,199.2,9.1,-146.4,77.4
2625.9,104.2,334.5,213.2,110.8,8.6,-129.7,109.0
2634.9,91.0,326.4,212.8,101.2,11.0,-124.6,121.9
2643.9,76.8,292.6,216.4,80.0,11.8,-144.2,139.6
2652.9,81.4,292.1,216.1,79.8,11.3,-149.3,134.7
2661.9,73.2,291.8,209.6,86.1,10.3,-141.4,136.4
2670.9,26.4,262.9,234.9,1.9,4.6,-123.5,-151.5
2679.9,184.6,318.8,217.1,92.4,0.6,134.2,32.6
2692.9,156.2,7.0,231.1,178.7,3.7,-149.1,74.9
2701.9,96.4,297.6,216.2,98.2,5.8,-158.9,119.8
2710.9,98.5,303.8,215.3,97.9,10.0,-154.7,116.7
2719.9,117.2,315.4,214.7,107.6,9.6,-161.8,97.5
2728.9,90.0,331.1,216.6,113.1,6.8,-118.9,126.6
2737.9,8.4,260.6,221.4,49.2,0.0,-107.8,-147.0
2746.9,14.7,277.0,228.1,15.4,7.7,-97.6,-146.6
2755.9,294.1,275.8,238.2,353.8,2.4,-18.3,-55.9
2764.9,291.4,347.5,261.9,286.3,9.2,56.1,-29.6
2773.9,275.3,5.2,256.4,287.8,12.0,90.0,-18.9
2782.9,268.7,6.2,258.6,271.4,13.8,97.5,-10.0
2791.9,273.0,8.7,261.9,261.2,12.8,95.7,-11.1
2800.9,287.1,14.9,262.4,282.2,13.5,87.8,-24.7
2809.9,288.2,16.7,262.0,287.9,14.1,88.4,-26.3
2818.9,287.6,27.5,259.3,287.6,14.0,99.9,-28.3
2827.9,288.1,22.6,260.9,287.0,13.6,94.4,-27.2
2836.9,291.7,22.2,258.0,291.0,14.0,90.5,-33.7
2845.9,292.1,17.3,257.5,291.0,13.5,85.2,-34.6
2854.9,291.2,8.6,261.6,292.1,13.1,77.4,-29.5
2863.9,289.7,3.5,262.2,291.6,12.7,73.8,-27.5
2872.9,265.7,22.5,257.4,290.7,7.5,116.8,-8.3
2881.9,190.0,327.7,234.9,196.8,5.1,137.7,45.0
2890.9,191.3,345.9,234.3,190.5,10.4,154.6,43.0
2899.9,193.7,23.7,231.4,189.9,0.0,-170.0,37.7
2908.9,193.2,358.2,236.6,191.5,10.6,165.0,43.5
2917.9,194.7,26.2,233.4,194.2,4.5,-168.4,38.8
2926.9,195.0,27.3,234.8,194.8,11.6,-167.7,39.8
2935.9,198.1,16.2,236.5,194.4,12.1,178.1,38.4
2944.8,139.5,6.1,241.9,201.8,4.2,-133.4,102.4
2953.8,122.3,313.4,212.8,122.6,7.2,-168.9,90.5
2962.9,122.8,312.9,215.6,122.7,13.0,-169.9,92.8
2971.9,128.3,328.1,214.4,120.8,10.8,-160.2,86.1
2980.9,182.3,28.4,241.4,200.2,6.9,-153.9,59.1
2989.9,175.5,3.1,226.1,175.6,13.5,-172.4,50.7
2998.8,178.3,358.0,227.3,177.2,16.1,179.7,48.9
3007.9,183.6,347.8,235.8,184.4,17.0,164.2,52.2
3016.9,254.4,344.9,233.4,180.2,8.0,90.6,-21.0
3025.8,272.4,35.3,262.7,275.7,9.1,122.9,-9.6
3034.9,283.6,28.9,263.6,258.2,6.1,105.3,-20.0
3043.9,274.6,11.9,264.7,279.8,8.3,97.3,-9.9
3052.9,341.2,10.0,265.1,270.0,5.5,28.8,-76.0
3061.9,352.8,292.5,236.2,354.7,6.5,-60.3,-116.6
3070.9,287.1,291.2,236.0,350.8,5.8,4.1,-51.1
3079.9,290.5,348.4,263.6,256.2,6.4,57.9,-26.9
3088.9,281.9,286.2,234.3,352.9,4.7,4.3,-47.6
3097.9,259.2,8.8,265.2,268.0,8.1,109.6,6.1
3106.9,165.4,333.6,232.9,188.3,3.7,168.2,67.5
3115.9,167.2,323.2,217.8,151.3,6.4,156.0,50.7
3124.9,149.1,345.6,231.3,182.3,5.7,-163.5,82.2
3133.8,93.9,302.2,210.0,95.8,4.6,-151.7,116.1
3142.9,169.5,314.0,215.0,115.4,3.4,144.5,45.5
3151.9,180.5,3.4,229.3,177.4,6.4,-177.1,48.8
3160.9,255.3,18.0,228.4,179.8,0.0,122.8,-26.8
3169.9,255.1,31.0,262.1,264.7,6.4,135.9,7.0
3178.9,198.7,25.9,263.0,256.7,6.5,-172.8,64.3
3187.9,181.1,342.5,223.7,164.5,4.4,161.4,42.5
3196.9,341.2,28.7,244.3,209.9,0.3,47.4,-97.0
3211.9,2.0,262.8,244.0,345.8,3.0,-99.2,-118.0
3220.9,71.1,289.8,216.8,68.2,4.3,-141.3,145.8
3229.9,69.3,294.6,227.9,81.1,6.4,-134.7,158.6
3238.9,359.3,242.5,252.2,356.2,5.0,-116.8,-107.1
3247.9,90.0,272.6,232.7,41.0,4.4,-177.4,142.7
3256.9,84.0,323.0,224.5,82.5,6.1,-121.0,140.4
3265.9,96.6,336.6,225.5,109.6,4.8,-120.0,128.9
3274.9,86.6,338.4,224.9,105.4,7.4,-108.2,138.3
3283.9,358.7,246.5,243.8,16.9,5.6,-112.2,-114.9
3292.9,5.0,216.5,252.9,358.1,5.8,-148.4,-112.1
3301.9,1.0,232.9,245.8,10.7,8.8,-128.1,-115.1
3310.9,357.5,255.3,246.5,11.2,4.0,-102.2,-111.0
3319.9,350.3,222.8,258.6,347.6,9.8,-127.5,-91.7
3328.9,336.2,233.6,254.0,354.0,7.7,-102.7,-82.2
3337.9,275.0,47.6,278.7,276.1,6.6,132.6,3.7
3346.9,345.8,43.3,276.9,269.3,5.0,57.5,-68.9
3355.9,286.8,239.9,252.2,1.2,5.4,-46.9,-34.7
3364.8,240.2,42.3,279.1,262.9,7.0,162.1,38.9
3373.9,171.8,353.3,250.6,178.0,5.8,-178.6,78.7
3382.9,206.7,357.2,244.5,169.2,0.0,150.5,37.8
3403.9,266.5,47.5,277.2,242.8,3.2,141.0,10.7
3412.9,281.8,65.7,279.4,268.0,6.2,144.0,-2.3
3421.9,350.6,192.1,268.5,317.2,5.2,-158.5,-82.1
3430.9,350.9,247.9,249.7,0.4,7.5,-103.0,-101.2
3439.9,0.1,251.2,252.5,351.9,5.6,-108.9,-107.7
3448.9,343.6,228.8,253.4,0.1,7.7,-114.8,-90.2
3457.9,357.9,210.2,265.8,323.6,6.2,-147.8,-92.1
3466.9,9.7,269.0,244.5,11.3,8.3,-100.7,-125.2
3475.9,10.4,261.9,242.6,11.0,7.3,-108.5,-127.8
3484.9,99.4,283.4,241.6,19.4,1.8,-176.0,142.2
3493.9,121.0,327.4,227.9,114.2,10.9,-153.7,106.8
3502.9,123.5,337.6,227.0,123.2,13.1,-145.9,103.5
3511.9,123.7,338.5,226.2,123.2,13.7,-145.2,102.5
3520.9,120.5,342.5,226.3,122.6,11.3,-138.0,105.8
3529.9,186.4,9.6,240.8,159.3,6.3,-176.8,54.4
3538.9,174.2,14.7,242.3,171.6,10.7,-159.4,68.2
3547.9,176.3,13.2,245.8,177.6,12.9,-163.1,69.6
3556.9,182.6,359.3,249.4,179.3,16.0,176.6,66.8
3565.9,178.8,357.3,250.9,180.4,16.0,178.4,72.1
3574.9,172.9,355.2,249.5,175.4,15.9,-177.7,76.7
3583.9,170.5,0.7,248.0,170.5,16.2,-169.7,77.5
3592.9,168.7,354.3,244.3,169.1,16.8,-174.4,75.6
3601.9,169.3,349.2,243.8,167.3,17.8,179.8,74.5
3610.9,182.3,12.4,250.5,179.0,17.3,-169.8,68.3
3619.9,154.6,30.8,253.1,181.6,12.7,-123.7,98.6
3628.9,91.4,292.7,226.3,119.6,7.5,-158.6,135.0
3637.9,161.0,285.5,225.6,85.2,1.0,124.5,64.6
3646.9,182.1,28.2,243.9,179.3,5.3,-153.8,61.8
3655.9,178.6,7.7,252.5,184.0,5.0,-170.9,73.9
3664.9,177.1,359.7,245.9,177.9,5.6,-177.5,68.8
3673.9,206.6,3.6,248.7,174.2,3.7,157.0,42.1
3682.8,1.0,86.4,277.4,271.4,0.0,85.4,-83.6
3694.9,3.0,244.9,249.8,2.1,4.8,-118.1,-113.2
3703.9,357.3,240.0,251.6,1.9,8.5,-117.4,-105.7
3712.9,24.1,263.7,249.8,357.1,6.5,-120.5,-134.3
3721.8,78.3,331.4,225.0,79.1,5.8,-106.9,146.7
3730.9,77.5,320.1,224.9,77.4,9.7,-117.4,147.4
3739.9,77.5,326.2,225.1,77.3,1.3,-111.3,147.7
3749.9,75.9,324.8,225.1,79.9,5.0,-111.1,149.2
3758.8,78.1,322.1,225.7,76.2,10.4,-116.1,147.6
3767.9,81.4,319.9,225.5,78.8,14.2,-121.5,144.2
3776.9,83.2,345.9,224.9,83.3,15.3,-97.3,141.7
3785.9,84.8,8.7,223.9,83.2,15.4,-76.1,139.1
3794.9,74.5,351.2,223.2,85.8,13.3,-83.3,148.8
3803.9,354.5,206.7,252.9,358.3,7.3,-147.8,-101.7
3812.9,355.9,219.4,251.5,354.0,8.9,-136.5,-104.4
3821.9,280.0,221.9,259.5,342.2,5.4,-58.1,-20.5
3830.9,294.5,21.0,284.5,268.9,5.9,86.5,-10.0
3839.9,0.1,243.9,252.8,3.2,5.7,-116.2,-107.4
